Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
180	-0.07296139	0.04800624	-0.0060672937	-0.24040993	1.0	0.039110832	0.011878741	0.06637795	0.017175015	-0.024474572	0.0055602486	-0.008717145	-0.038631264	-1.3308619	0.087758645	-1.0683966	-1.5013561	-0.19625771	0.01817734	231.77498722076416
180	-0.15941554	0.0	-0.15941554	-0.15941554	1.0	-0.017152913	0.010197162	0.0010547745	-0.05473634	-0.07058124	0.009045093	-0.048381098	-0.09496336	-1.3560226	0.079710096	-1.1182281	-1.5548137	-0.1684727	0.0089048445	232.37340879440308
180	-0.0170456	0.0	-0.0170456	-0.0170456	1.0	-0.070729524	0.014026421	-0.049024966	-0.1300348	-0.10418969	0.012869717	-0.075492315	-0.13226594	-1.3520429	0.06495408	-1.1730889	-1.5193343	-0.15763497	0.0060103424	233.05048847198486
180	-0.07706645	0.0	-0.07706645	-0.07706645	1.0	-0.11352906	0.019252423	-0.0837456	-0.16118336	-0.10268938	0.010881299	-0.07738623	-0.12699671	-1.3622389	0.060434613	-1.2132181	-1.547391	-0.14474423	0.006762895	233.65284371376038
180	-0.012347556	0.0	-0.012347556	-0.012347556	1.0	-0.12678199	0.01996888	-0.09508529	-0.19341692	-0.08962331	0.008233172	-0.065735035	-0.11019328	-1.3663015	0.043104663	-1.2843922	-1.4957801	-0.15088078	0.00962111	234.2575876712799
180	-0.017116312	0.0	-0.017116312	-0.017116312	1.0	-0.1207191	0.01693931	-0.09360537	-0.16344388	-0.07627757	0.0056715435	-0.0634705	-0.09122909	-1.3607624	0.037288766	-1.2742503	-1.4621276	-0.16426723	0.007972056	234.86770486831665
180	-0.06885043	0.0	-0.06885043	-0.06885043	1.0	-0.11168291	0.015107888	-0.08506088	-0.14466402	-0.06335509	0.005161562	-0.050613455	-0.07402839	-1.3667507	0.047810886	-1.26641	-1.5383968	-0.17957996	0.0059259636	235.47107815742493
180	-0.025968429	0.0	-0.025968429	-0.025968429	1.0	-0.0922959	0.010798138	-0.072689086	-0.13056302	-0.053669028	0.0052649127	-0.042361047	-0.066619076	-1.3595494	0.03958873	-1.2834065	-1.5178267	-0.1968802	0.0052656317	236.08665800094604
180	-0.036680307	0.0	-0.036680307	-0.036680307	1.0	-0.07440946	0.008575606	-0.058842894	-0.10203964	-0.048810083	0.006354245	-0.035757747	-0.062991686	-1.365515	0.04309999	-1.2902106	-1.5360379	-0.21240377	0.005483047	236.7473509311676
180	-0.18336126	0.0	-0.18336126	-0.18336126	1.0	-0.060371295	0.0059077567	-0.04830005	-0.07805505	-0.05123458	0.006173621	-0.036028747	-0.065374665	-1.3673515	0.047901504	-1.2963601	-1.6235745	-0.21534571	0.0054669324	237.33742237091064
180	-0.07943009	0.0	-0.07943009	-0.07943009	1.0	-0.050070606	0.004788529	-0.03911562	-0.061530568	-0.056955874	0.0066281855	-0.041025467	-0.07145588	-1.3630569	0.041944224	-1.2932773	-1.4921347	-0.20786214	0.0048452583	237.9498724937439
180	-0.036445938	0.0	-0.036445938	-0.036445938	1.0	-0.043100882	0.004959228	-0.033143505	-0.05510906	-0.065824956	0.0063607814	-0.05269844	-0.07995068	-1.3664654	0.040025644	-1.2907339	-1.555104	-0.1982953	0.0071233576	238.57770919799805
