Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
143	-7.8963637	3.7269697	-1.9884521	-14.988334	1.0	262.3075716495514
144	-4.808322	0.0	-4.808322	-4.808322	1.0	263.5632812976837
146	-9.9484	0.0	-9.9484	-9.9484	1.0	266.05514001846313
148	-4.2695975	0.0	-4.2695975	-4.2695975	1.0	268.65116786956787
149	-2.674773	0.0	-2.674773	-2.674773	1.0	269.9178442955017
150	-6.9225206	0.0	-6.9225206	-6.9225206	1.0	408.39097929000854
151	-0.89351285	0.0	-0.89351285	-0.89351285	1.0	409.6360800266266
152	-0.6491827	0.0	-0.6491827	-0.6491827	1.0	410.89239740371704
153	-2.8404472	0.0	-2.8404472	-2.8404472	1.0	412.1195693016052
154	-1.5333056	0.0	-1.5333056	-1.5333056	1.0	413.3660674095154
155	-3.5903883	0.0	-3.5903883	-3.5903883	1.0	414.61845779418945
156	-3.0706258	0.0	-3.0706258	-3.0706258	1.0	415.89660477638245
157	-2.6836843	0.0	-2.6836843	-2.6836843	1.0	417.1717338562012
158	-0.45852777	0.0	-0.45852777	-0.45852777	1.0	418.43092370033264
159	-1.5448288	0.0	-1.5448288	-1.5448288	1.0	419.71900367736816
160	-0.5039072	0.0	-0.5039072	-0.5039072	1.0	420.916720867157
161	-0.54486275	0.0	-0.54486275	-0.54486275	1.0	422.16654682159424
162	-2.1144361	0.0	-2.1144361	-2.1144361	1.0	423.4149360656738
163	-0.72399914	0.0	-0.72399914	-0.72399914	1.0	424.68832540512085
164	-0.8690275	0.0	-0.8690275	-0.8690275	1.0	425.9328682422638
165	-2.4952264	0.0	-2.4952264	-2.4952264	1.0	427.2119836807251
166	-0.876964	0.0	-0.876964	-0.876964	1.0	428.47614192962646
167	-1.300413	0.0	-1.300413	-1.300413	1.0	429.9570424556732
168	-0.47811854	0.0	-0.47811854	-0.47811854	1.0	431.2286756038666
169	-2.2286103	0.0	-2.2286103	-2.2286103	1.0	432.46496629714966
170	-3.382425	0.0	-3.382425	-3.382425	1.0	433.67892599105835
171	-0.8391911	0.0	-0.8391911	-0.8391911	1.0	434.93090653419495
172	-2.2049131	0.0	-2.2049131	-2.2049131	1.0	436.13024258613586
173	-2.3406718	0.0	-2.3406718	-2.3406718	1.0	437.41012835502625
174	-0.23560147	0.0	-0.23560147	-0.23560147	1.0	438.6805913448334
175	-1.4686878	0.0	-1.4686878	-1.4686878	1.0	439.8858196735382
176	-4.198328	0.0	-4.198328	-4.198328	1.0	441.1426830291748
177	-0.8000563	0.0	-0.8000563	-0.8000563	1.0	442.3401165008545
178	-2.8292668	0.0	-2.8292668	-2.8292668	1.0	443.6323993206024
179	-1.0737894	0.0	-1.0737894	-1.0737894	1.0	444.8416543006897
180	-0.21846434	0.0	-0.21846434	-0.21846434	1.0	446.0281252861023
181	-1.4891819	0.0	-1.4891819	-1.4891819	1.0	447.26474952697754
182	-0.5671301	0.0	-0.5671301	-0.5671301	1.0	448.51689743995667
183	-1.4410671	0.0	-1.4410671	-1.4410671	1.0	449.7657675743103
184	-0.8199163	0.0	-0.8199163	-0.8199163	1.0	451.00877928733826
185	-0.84666985	0.0	-0.84666985	-0.84666985	1.0	452.2763936519623
186	-1.1219759	0.0	-1.1219759	-1.1219759	1.0	453.50891041755676
187	-1.2353872	0.0	-1.2353872	-1.2353872	1.0	454.6861035823822
188	-0.80410314	0.0	-0.80410314	-0.80410314	1.0	455.91710090637207
189	-0.6815452	0.0	-0.6815452	-0.6815452	1.0	457.171334028244
190	-1.1770062	0.0	-1.1770062	-1.1770062	1.0	458.4212431907654
191	-1.4595748	0.0	-1.4595748	-1.4595748	1.0	459.69677114486694
192	-1.7673534	0.0	-1.7673534	-1.7673534	1.0	460.9470889568329
193	-3.763675	0.0	-3.763675	-3.763675	1.0	462.1673457622528
194	-0.7192097	0.0	-0.7192097	-0.7192097	1.0	463.49473786354065
195	-2.3711195	0.0	-2.3711195	-2.3711195	1.0	464.7237751483917
196	-4.267652	0.0	-4.267652	-4.267652	1.0	465.9777774810791
197	-1.2452924	0.0	-1.2452924	-1.2452924	1.0	467.23417806625366
198	-2.3403645	0.0	-2.3403645	-2.3403645	1.0	468.5404369831085
199	-0.29141915	0.0	-0.29141915	-0.29141915	1.0	469.82146644592285
200	-0.93366194	0.0	-0.93366194	-0.93366194	1.0	471.06011939048767
201	-0.33520427	0.0	-0.33520427	-0.33520427	1.0	472.3013732433319
202	-0.5064767	0.0	-0.5064767	-0.5064767	1.0	473.501424074173
203	-1.0714934	0.0	-1.0714934	-1.0714934	1.0	474.7629566192627
204	-1.5195936	0.0	-1.5195936	-1.5195936	1.0	475.985759973526
205	-0.6977308	0.0	-0.6977308	-0.6977308	1.0	477.2702808380127
206	-0.42825738	0.0	-0.42825738	-0.42825738	1.0	478.48555636405945
207	-1.188194	0.0	-1.188194	-1.188194	1.0	479.75244879722595
208	-4.0995345	0.0	-4.0995345	-4.0995345	1.0	481.02646684646606
209	-1.8644587	0.0	-1.8644587	-1.8644587	1.0	482.30505776405334
210	-2.5614743	0.0	-2.5614743	-2.5614743	1.0	483.57543206214905
211	-1.5023975	0.0	-1.5023975	-1.5023975	1.0	484.8282172679901
212	-1.7055359	0.0	-1.7055359	-1.7055359	1.0	486.0719666481018
213	-2.5824833	0.0	-2.5824833	-2.5824833	1.0	487.27861499786377
214	-1.7337836	0.0	-1.7337836	-1.7337836	1.0	488.47166538238525
215	-2.8100436	0.0	-2.8100436	-2.8100436	1.0	489.88420581817627
216	-0.8597189	0.0	-0.8597189	-0.8597189	1.0	491.08835339546204
217	-1.8307666	0.0	-1.8307666	-1.8307666	1.0	492.3515090942383
218	-3.0462768	0.0	-3.0462768	-3.0462768	1.0	493.6111135482788
219	-3.0654845	0.0	-3.0654845	-3.0654845	1.0	494.9906163215637
220	-1.0968049	0.0	-1.0968049	-1.0968049	1.0	496.24836587905884
221	-1.3673366	0.0	-1.3673366	-1.3673366	1.0	497.5558297634125
222	-0.5152186	0.0	-0.5152186	-0.5152186	1.0	498.76289916038513
223	-2.2438483	0.0	-2.2438483	-2.2438483	1.0	500.0879375934601
224	-1.643419	0.0	-1.643419	-1.643419	1.0	501.32659578323364
225	-2.358476	0.0	-2.358476	-2.358476	1.0	502.620742559433
226	-1.6201154	0.0	-1.6201154	-1.6201154	1.0	503.9035894870758
227	-0.8735349	0.0	-0.8735349	-0.8735349	1.0	505.1636257171631
228	-0.5144476	0.0	-0.5144476	-0.5144476	1.0	506.453946352005
229	-2.6428034	0.0	-2.6428034	-2.6428034	1.0	507.78690481185913
230	-1.547218	0.0	-1.547218	-1.547218	1.0	508.9763867855072
231	-3.2184339	0.0	-3.2184339	-3.2184339	1.0	510.2007620334625
232	-2.7854595	0.0	-2.7854595	-2.7854595	1.0	511.4445502758026
233	-1.2461245	0.0	-1.2461245	-1.2461245	1.0	512.7345476150513
234	-1.7961179	0.0	-1.7961179	-1.7961179	1.0	513.991555929184
235	-2.5913162	0.0	-2.5913162	-2.5913162	1.0	515.2164285182953
236	-1.452283	0.0	-1.452283	-1.452283	1.0	516.4723522663116
237	-0.8198443	0.0	-0.8198443	-0.8198443	1.0	517.7083766460419
238	-0.92501366	0.0	-0.92501366	-0.92501366	1.0	518.9117214679718
239	-1.8986014	0.0	-1.8986014	-1.8986014	1.0	520.1256439685822
240	-2.5467834	0.0	-2.5467834	-2.5467834	1.0	521.3834719657898
241	-2.1000812	0.0	-2.1000812	-2.1000812	1.0	522.6694574356079
242	-0.66270566	0.0	-0.66270566	-0.66270566	1.0	523.9284992218018
243	-1.9954467	0.0	-1.9954467	-1.9954467	1.0	525.1202700138092
244	-1.4515477	0.0	-1.4515477	-1.4515477	1.0	526.3846197128296
245	-1.6041126	0.0	-1.6041126	-1.6041126	1.0	527.7513284683228
246	-0.65779114	0.0	-0.65779114	-0.65779114	1.0	528.9698023796082
247	-1.0138826	0.0	-1.0138826	-1.0138826	1.0	530.2076745033264
248	-0.3168526	0.0	-0.3168526	-0.3168526	1.0	531.4768078327179
249	-1.5249882	0.0	-1.5249882	-1.5249882	1.0	532.6761856079102
250	-3.4070551	0.0	-3.4070551	-3.4070551	1.0	533.9104335308075
251	-1.0938	0.0	-1.0938	-1.0938	1.0	535.172087430954
252	-1.1446109	0.0	-1.1446109	-1.1446109	1.0	536.4092078208923
253	-1.2085738	0.0	-1.2085738	-1.2085738	1.0	537.6713993549347
