Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
225	-9.334323	3.170075	-2.3498473	-14.916849	1.0	450.78424191474915
226	-10.047027	0.0	-10.047027	-10.047027	1.0	451.90592098236084
227	-6.4761333	0.0	-6.4761333	-6.4761333	1.0	453.03345680236816
228	-9.184978	0.0	-9.184978	-9.184978	1.0	454.1663191318512
229	-4.5061398	0.0	-4.5061398	-4.5061398	1.0	455.3865120410919
230	-4.2698474	0.0	-4.2698474	-4.2698474	1.0	456.53335428237915
231	-4.6884804	0.0	-4.6884804	-4.6884804	1.0	457.633740901947
232	-5.5250483	0.0	-5.5250483	-5.5250483	1.0	458.77521872520447
233	-8.291751	0.0	-8.291751	-8.291751	1.0	459.99697041511536
234	-6.351764	0.0	-6.351764	-6.351764	1.0	461.1625096797943
235	-8.560191	0.0	-8.560191	-8.560191	1.0	462.3255639076233
236	-7.33221	0.0	-7.33221	-7.33221	1.0	463.46136021614075
237	-3.2366984	0.0	-3.2366984	-3.2366984	1.0	464.58088874816895
238	-3.7155406	0.0	-3.7155406	-3.7155406	1.0	465.77292251586914
239	-9.873578	0.0	-9.873578	-9.873578	1.0	466.917546749115
240	-6.1750855	0.0	-6.1750855	-6.1750855	1.0	468.0487551689148
241	-6.963452	0.0	-6.963452	-6.963452	1.0	469.1817319393158
242	-8.656846	0.0	-8.656846	-8.656846	1.0	470.38304924964905
243	-6.232639	0.0	-6.232639	-6.232639	1.0	471.5384404659271
244	-4.796714	0.0	-4.796714	-4.796714	1.0	472.6760365962982
245	-9.952922	0.0	-9.952922	-9.952922	1.0	473.8166766166687
246	-6.508567	0.0	-6.508567	-6.508567	1.0	474.97283720970154
247	-5.757155	0.0	-5.757155	-5.757155	1.0	476.20114612579346
248	-9.262807	0.0	-9.262807	-9.262807	1.0	477.3780150413513
249	-8.393377	0.0	-8.393377	-8.393377	1.0	478.6454644203186
250	-8.243983	0.0	-8.243983	-8.243983	1.0	479.98823070526123
251	-4.055732	0.0	-4.055732	-4.055732	1.0	481.25072383880615
252	-5.700403	0.0	-5.700403	-5.700403	1.0	482.39558482170105
253	-8.525715	0.0	-8.525715	-8.525715	1.0	483.60768818855286
254	-5.452028	0.0	-5.452028	-5.452028	1.0	484.7877297401428
255	-9.060672	0.0	-9.060672	-9.060672	1.0	486.0687072277069
256	-8.435908	0.0	-8.435908	-8.435908	1.0	487.22348403930664
257	-6.1318393	0.0	-6.1318393	-6.1318393	1.0	488.36737728118896
258	-7.0237026	0.0	-7.0237026	-7.0237026	1.0	489.59513902664185
259	-10.234357	0.0	-10.234357	-10.234357	1.0	490.7700216770172
260	-8.438778	0.0	-8.438778	-8.438778	1.0	492.04712867736816
261	-10.234196	0.0	-10.234196	-10.234196	1.0	493.20487570762634
262	-6.773539	0.0	-6.773539	-6.773539	1.0	494.4564151763916
263	-9.117234	0.0	-9.117234	-9.117234	1.0	495.603670835495
264	-5.701352	0.0	-5.701352	-5.701352	1.0	496.817764043808
265	-6.155456	0.0	-6.155456	-6.155456	1.0	497.94570660591125
266	-10.680541	0.0	-10.680541	-10.680541	1.0	499.18259286880493
267	-8.608718	0.0	-8.608718	-8.608718	1.0	500.3557596206665
268	-8.510629	0.0	-8.510629	-8.510629	1.0	501.5280051231384
269	-6.964254	0.0	-6.964254	-6.964254	1.0	502.6869966983795
270	-3.7578325	0.0	-3.7578325	-3.7578325	1.0	503.8393783569336
271	-7.5186205	0.0	-7.5186205	-7.5186205	1.0	504.9850709438324
272	-7.341328	0.0	-7.341328	-7.341328	1.0	506.1921908855438
273	-6.9871616	0.0	-6.9871616	-6.9871616	1.0	507.36136174201965
274	-9.167801	0.0	-9.167801	-9.167801	1.0	508.6255373954773
275	-8.7198515	0.0	-8.7198515	-8.7198515	1.0	509.7734794616699
276	-6.496529	0.0	-6.496529	-6.496529	1.0	511.03155303001404
277	-4.189877	0.0	-4.189877	-4.189877	1.0	512.1880185604095
278	-5.2295136	0.0	-5.2295136	-5.2295136	1.0	513.4488244056702
