Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
192	0.017613405	0.23759626	0.37208983	-0.45138082	1.0	-0.05604728	0.0052628354	-0.049669903	-0.067059025	-0.04442961	0.004223329	-0.03730234	-0.052344788	-1.344264	0.22320144	-0.6151297	-1.7094948	-0.21960433	0.13908353	262.126118183136
192	0.19414325	0.0	0.19414325	0.19414325	1.0	-0.051165767	0.005598227	-0.04294917	-0.06031792	-0.037719212	0.0041134395	-0.031233242	-0.04531816	-1.3629944	0.24707481	-0.629946	-1.9937813	-0.2279569	0.113698445	262.7424602508545
192	-0.3133988	0.0	-0.3133988	-0.3133988	1.0	-0.04377035	0.005617949	-0.036194466	-0.05357358	-0.031447127	0.0040512714	-0.025339276	-0.038457826	-1.3807752	0.2551201	-0.6660533	-2.202981	-0.23888214	0.11149122	263.39926528930664
192	-0.028549368	0.0	-0.028549368	-0.028549368	1.0	-0.036807653	0.005649841	-0.029696165	-0.04694417	-0.025893658	0.0036607904	-0.019565064	-0.0313074	-1.3499327	0.1950262	-0.8377967	-1.6923357	-0.23970291	0.124273404	264.03259801864624
192	-0.25367072	0.0	-0.25367072	-0.25367072	1.0	-0.032241695	0.005679597	-0.02352801	-0.040435728	-0.019568894	0.0036600723	-0.013658097	-0.024853472	-1.3667434	0.22465838	-0.7664964	-2.5530229	-0.24713147	0.115574986	264.6494219303131
192	0.36353418	0.0	0.36353418	0.36353418	1.0	-0.024952251	0.0057911463	-0.01749684	-0.03420483	-0.013558285	0.0031160829	-0.008455675	-0.018484855	-1.3659103	0.21004044	-0.7662337	-1.6689736	-0.25391024	0.120375775	265.29218006134033
192	-0.41706982	0.0	-0.41706982	-0.41706982	1.0	-0.019253567	0.0055360952	-0.012082759	-0.028388016	-0.008080086	0.0030364937	-0.003323473	-0.012764271	-1.3450134	0.18699056	-0.8812742	-1.7641721	-0.25519952	0.11847432	265.9205265045166
192	0.33796987	0.0	0.33796987	0.33796987	1.0	-0.014434995	0.0056975833	-0.00677305	-0.022862952	-0.0027498286	0.0027701159	0.0012548678	-0.007609578	-1.4007685	0.2665694	-0.7967675	-2.7835608	-0.27074754	0.11717732	266.5348641872406
192	-0.083059214	0.0	-0.083059214	-0.083059214	1.0	-0.008302997	0.005534943	-0.0019200398	-0.017666053	0.0016454303	0.0023209665	0.0053986385	-0.0029302314	-1.3045554	0.21458524	-0.8126488	-1.9601774	-0.25663722	0.11999641	267.1585557460785
192	0.120537445	0.0	0.120537445	0.120537445	1.0	-0.005424522	0.005306667	0.002169718	-0.013225584	0.005148473	0.002328174	0.008422833	0.0008414425	-1.360489	0.19591606	-0.8253958	-2.063345	-0.27057448	0.107418224	267.7852463722229
