Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
6	-0.037245613	0.18454172	0.22708422	-0.31668556	1.0	-0.07687387	0.0026685426	-0.074790664	-0.08131562	-0.08696365	0.008912469	-0.080005646	-0.10179798	-1.1451054	0.41929877	-0.4459381	-1.5623906	-0.13558193	0.11011139	15.497822999954224
7	0.16523112	0.0	0.16523112	0.16523112	1.0	-0.08063619	0.00603331	-0.075489916	-0.09023593	-0.09281938	0.009907695	-0.08706465	-0.10997985	-1.1167009	0.4832897	-0.4099455	-1.5895765	-0.1317287	0.0834747	17.962024450302124
8	-0.19508292	0.0	-0.19508292	-0.19508292	1.0	-0.080672964	0.0029853745	-0.07557131	-0.082770884	-0.084827766	0.0018776717	-0.08295761	-0.08693528	-1.1189048	0.27728972	-0.6618993	-1.4055903	-0.1348808	0.05017115	20.418980836868286
9	-0.07124206	0.0	-0.07124206	-0.07124206	1.0	-0.081432976	0.003416278	-0.07825182	-0.08719732	-0.09896299	0.0061339187	-0.088855185	-0.1054173	-1.4382105	0.35032144	-0.8978903	-1.79317	-0.19062531	0.0637427	22.947155475616455
10	0.031998307	0.0	0.031998307	0.031998307	1.0	-0.086218104	0.0032409877	-0.08215025	-0.090181604	-0.09529883	0.007137844	-0.08817063	-0.10476655	-1.5697777	0.15510605	-1.3266404	-1.7402422	-0.22086373	0.070838	25.450887441635132
11	0.05541669	0.0	0.05541669	0.05541669	1.0	-0.079852365	0.003171424	-0.07641618	-0.08446406	-0.087975234	0.0046402453	-0.08376367	-0.09582271	-1.6979607	0.08710189	-1.5691223	-1.808328	-0.25393403	0.02359815	27.933602333068848
12	-0.23901941	0.0	-0.23901941	-0.23901941	1.0	-0.07787735	0.00632705	-0.066959575	-0.08238438	-0.090581305	0.004123537	-0.08466005	-0.096174955	-1.6291692	0.1784342	-1.3916925	-1.8475536	-0.23797983	0.08803356	30.482266902923584
13	0.43262342	0.0	0.43262342	0.43262342	1.0	-0.078984834	0.002401937	-0.07555441	-0.081297085	-0.086009026	0.005880759	-0.079396255	-0.09460016	-1.172863	0.25842807	-0.82468224	-1.545217	-0.15030888	0.057302833	32.99407482147217
14	0.36928204	0.0	0.36928204	0.36928204	1.0	-0.071246676	0.0068030185	-0.064453185	-0.078549154	-0.08728905	0.0028584143	-0.08457334	-0.09209716	-1.7348748	0.10557456	-1.5998583	-1.892835	-0.26407647	0.3632877	35.503613233566284
15	0.20523752	0.0	0.20523752	0.20523752	1.0	-0.071123034	0.0024653	-0.0682115	-0.07493009	-0.080108106	0.0030479992	-0.07534778	-0.08384651	-1.0321457	0.40767664	-0.54034686	-1.6649051	-0.13038196	0.07135824	38.02185320854187
16	-0.37896508	0.0	-0.37896508	-0.37896508	1.0	-0.066451795	0.0041653025	-0.0636154	-0.07360203	-0.07597177	0.00245861	-0.071723044	-0.07765906	-1.713912	0.15409324	-1.4518193	-1.8307443	-0.27104655	0.010619607	40.51681995391846
17	-0.20749086	0.0	-0.20749086	-0.20749086	1.0	-0.06426791	0.0057195895	-0.054381303	-0.06786014	-0.0749694	0.0038379403	-0.069035284	-0.07835974	-0.99198395	0.5711751	-0.2042365	-1.6553104	-0.12878987	0.18532601	43.042882204055786
18	-0.45670027	0.0	-0.45670027	-0.45670027	1.0	-0.061870176	0.0021078456	-0.05826822	-0.06359871	-0.07104817	0.0031610334	-0.06714307	-0.07469289	-1.2377142	0.31459486	-0.765995	-1.5617526	-0.18179508	0.16869028	45.565369844436646
19	0.3535321	0.0	0.3535321	0.3535321	1.0	-0.059951793	0.005310553	-0.055997327	-0.06891908	-0.065666676	0.0016922064	-0.06421171	-0.06834364	-1.3576269	0.34986678	-0.88702965	-1.8653617	-0.209874	0.27308422	48.06611180305481
20	-0.22230768	0.0	-0.22230768	-0.22230768	1.0	-0.05421394	0.006833286	-0.044636935	-0.06396276	-0.056545574	0.002218306	-0.05483567	-0.060351685	-1.1641787	0.6147172	-0.1319027	-1.6410813	-0.17968759	0.082558334	50.60397028923035
21	0.19327246	0.0	0.19327246	0.19327246	1.0	-0.043373704	0.007076509	-0.03711953	-0.054310247	-0.05331077	0.0015070648	-0.051769767	-0.054817643	-1.4860898	0.30816984	-1.1795349	-1.8445086	-0.24833877	0.25923234	53.0875084400177
22	0.09563497	0.0	0.09563497	0.09563497	1.0	-0.04423894	0.0021132464	-0.040580235	-0.04555872	-0.04971589	0.006056647	-0.04106708	-0.055397518	-1.351444	0.40524384	-0.68300676	-1.7358665	-0.22455099	0.20674229	55.615785360336304
23	0.3059001	0.0	0.3059001	0.3059001	1.0	-0.03644019	0.0044688783	-0.028786685	-0.04007384	-0.042590715	0.0025684321	-0.03950294	-0.045568474	-1.3638589	0.32673514	-1.0007656	-1.7650528	-0.23547885	0.19423725	58.095266819000244
24	0.106993705	0.0	0.106993705	0.106993705	1.0	-0.03196395	0.0009400918	-0.030896123	-0.033439625	-0.03502663	0.0018191411	-0.03202554	-0.0368551	-1.5387677	0.19636802	-1.2565904	-1.7980912	-0.2777812	0.038309515	60.55947208404541
25	-0.070195325	0.0	-0.070195325	-0.070195325	1.0	-0.028835673	0.0012195837	-0.026963735	-0.030271897	-0.03192427	0.00409355	-0.02709421	-0.036885355	-1.206002	0.39587894	-0.85814786	-1.8781497	-0.21413885	0.10902517	63.15394353866577
26	-0.36079133	0.0	-0.36079133	-0.36079133	1.0	-0.028698135	0.0074611534	-0.020267095	-0.038227033	-0.029437533	0.0013403489	-0.027390819	-0.031152736	-1.0067964	0.25123495	-0.81774235	-1.4392371	-0.1735506	0.18215892	65.71251249313354
27	0.2733838	0.0	0.2733838	0.2733838	1.0	-0.016885206	0.00446047	-0.0118085295	-0.02137351	-0.02212553	0.002835168	-0.018776955	-0.026199281	-1.1280699	0.53787917	-0.40867615	-1.8585601	-0.20744504	0.07409496	68.1553430557251
28	0.3055357	0.0	0.3055357	0.3055357	1.0	-0.018458134	0.006261268	-0.011535386	-0.026891977	-0.021057952	0.0056008683	-0.015392721	-0.029681325	-1.1594266	0.06305304	-1.0581584	-1.2188656	-0.21432799	0.16033792	70.63282084465027
29	-0.15576738	0.0	-0.15576738	-0.15576738	1.0	-0.014940339	0.008579337	-0.0034860512	-0.027642723	-0.0148378145	0.0049577886	-0.008554177	-0.019881224	-1.3645717	0.19685696	-1.167376	-1.6876692	-0.2582126	0.13470788	73.0911386013031
30	0.39978302	0.0	0.39978302	0.39978302	1.0	-0.01532193	0.006192747	-0.00868323	-0.024796482	-0.018340273	0.0062533277	-0.013067031	-0.028984092	-1.314306	0.4698371	-0.5889554	-1.8508576	-0.24570003	0.25367057	75.58033013343811
31	-0.07794469	0.0	-0.07794469	-0.07794469	1.0	-0.008709215	0.0041513834	-0.002741645	-0.0125893215	-0.0125196995	0.007373495	-0.00027834624	-0.018316384	-1.1429603	0.37380084	-0.505538	-1.4139707	-0.21989228	0.08834175	78.02673625946045
32	-0.21688741	0.0	-0.21688741	-0.21688741	1.0	-0.008177028	0.0063116876	-0.0022245431	-0.018227287	-0.0031375512	0.0063083246	0.007416688	-0.009223018	-1.5597799	0.09976127	-1.4034154	-1.6812041	-0.30548078	0.1992179	80.55336928367615
33	0.16641162	0.0	0.16641162	0.16641162	1.0	-0.0005938285	0.0038858054	0.0036754403	-0.0069215447	0.00025745668	0.004131833	0.006786477	-0.003833983	-1.3221117	0.3606072	-0.8142555	-1.7908494	-0.2652473	0.08930926	83.05188298225403
34	-0.05287955	0.0	-0.05287955	-0.05287955	1.0	0.0010493798	0.0010407993	0.0025777128	-0.00022816844	0.00030516554	0.004236143	0.0055371933	-0.0047516637	-1.4028711	0.27473652	-1.0078783	-1.7547033	-0.28249523	0.16487876	85.53038358688354
35	-0.11081082	0.0	-0.11081082	-0.11081082	1.0	0.0069099674	0.004427818	0.01400697	0.0029540826	0.003971114	0.0041935015	0.011133645	0.0008856207	-1.1674695	0.39282444	-0.60394764	-1.6615888	-0.23811845	0.068991125	88.00457048416138
36	0.20054343	0.0	0.20054343	0.20054343	1.0	0.0036944197	0.007851586	0.012997437	-0.006638769	0.0025164997	0.007421076	0.011439797	-0.007431578	-1.2581403	0.15961178	-1.0030437	-1.4110066	-0.25597814	0.093509406	90.56232404708862
37	0.25175646	0.0	0.25175646	0.25175646	1.0	0.009844352	0.007930963	0.018791132	-0.00244301	0.00924632	0.0053905784	0.018422525	0.004812017	-1.2341001	0.42539904	-0.6482897	-1.7101477	-0.25484526	0.057392552	93.0478572845459
38	0.31139457	0.0	0.31139457	0.31139457	1.0	0.010748966	0.0014156864	0.011846135	0.008386579	0.008158896	0.005056653	0.011379153	-0.0005935952	-1.4239354	0.23548137	-1.0574372	-1.7079868	-0.29259107	0.13531125	95.58236885070801
39	-0.24151295	0.0	-0.24151295	-0.24151295	1.0	0.011964336	0.0064297817	0.020402845	0.0026679747	0.009437634	0.009054206	0.01933572	-0.0050269403	-1.2679594	0.21194889	-1.0082054	-1.4845135	-0.26235843	0.089460544	98.0476815700531
40	0.21840826	0.0	0.21840826	0.21840826	1.0	0.009014073	0.0027668525	0.011742159	0.004390522	0.0060983617	0.0046939943	0.011055093	-0.0015046857	-1.0064869	0.15524678	-0.9037602	-1.2746103	-0.20873618	0.20250544	100.50789856910706
41	-0.47270226	0.0	-0.47270226	-0.47270226	1.0	0.013234675	0.007839081	0.022463977	0.004532736	0.007855544	0.007063173	0.01645809	-0.0026584715	-1.6981244	0.07782691	-1.6213045	-1.8177853	-0.34832686	0.11234221	103.0111312866211
42	-0.29876262	0.0	-0.29876262	-0.29876262	1.0	0.014165668	0.0041925884	0.01819062	0.008130914	0.016989373	0.0040264195	0.023365624	0.01323064	-1.1598296	0.29494599	-0.8924422	-1.6105764	-0.24737395	0.10069756	105.47995924949646
43	0.12865968	0.0	0.12865968	0.12865968	1.0	0.01409793	0.0076263063	0.02572484	0.007081094	0.0059395926	0.008892874	0.020226888	-0.0033835024	-1.1127932	0.26853618	-0.65230465	-1.3025441	-0.22901466	0.09719136	107.96178817749023
44	0.30302972	0.0	0.30302972	0.30302972	1.0	0.022265878	0.002735047	0.02487091	0.018482469	0.023200164	0.0027532973	0.025091186	0.018442303	-1.4464533	0.4014147	-0.7889037	-1.8045824	-0.3110667	0.08400281	110.44177794456482
45	0.14972453	0.0	0.14972453	0.14972453	1.0	0.020150054	0.0068618464	0.025396392	0.008415476	0.017684221	0.00585926	0.025287095	0.011834405	-1.2771207	0.32908103	-0.77448463	-1.5740349	-0.27255118	0.22241932	112.91934967041016
46	0.21071547	0.0	0.21071547	0.21071547	1.0	0.013091379	0.0033785524	0.018867023	0.010278831	0.0071420725	0.001807851	0.009455182	0.0043811724	-1.2173609	0.2950448	-0.82736444	-1.6579164	-0.2516689	0.21843211	115.43052124977112
47	0.29352683	0.0	0.29352683	0.29352683	1.0	0.017455798	0.002460314	0.020299051	0.014445247	0.019448876	0.0013735959	0.02084266	0.017948106	-1.3651714	0.21572722	-1.0481	-1.619427	-0.29210627	0.11915933	117.94761037826538
49	0.36086133	0.0	0.36086133	0.36086133	1.0	0.02177605	0.007364493	0.033243038	0.009204885	0.022135591	0.007619158	0.031322047	0.009044368	-1.2749238	0.38190132	-0.64611864	-1.7916762	-0.27702606	0.12170301	122.99185752868652
50	0.04832274	0.0	0.04832274	0.04832274	1.0	0.02332202	0.0034255926	0.02838159	0.019233909	0.023014754	0.003999327	0.027587548	0.016856812	-1.2834405	0.6846649	-0.51815796	-2.3837	-0.2816012	0.083029285	125.4816665649414
51	0.020681666	0.0	0.020681666	0.020681666	1.0	0.030905845	0.0054114847	0.03673458	0.023259606	0.035152078	0.0072762263	0.043791033	0.026427805	-1.4665122	0.21354885	-1.1592073	-1.718677	-0.32744908	0.10174391	128.01343941688538
52	-0.053656135	0.0	-0.053656135	-0.053656135	1.0	0.031847075	0.0038081731	0.03542069	0.025428947	0.0337558	0.0021844613	0.035875957	0.03009453	-1.2496959	0.22896877	-0.9239354	-1.5594184	-0.2825685	0.114255786	130.50319981575012
53	-0.4612556	0.0	-0.4612556	-0.4612556	1.0	0.03711202	0.007090145	0.043436117	0.026254503	0.03174434	0.0045913183	0.03642969	0.024124458	-1.413635	0.23383872	-1.0787042	-1.7382276	-0.3169037	0.1257332	133.05943512916565
54	0.40108868	0.0	0.40108868	0.40108868	1.0	0.027555473	0.0043344656	0.03420847	0.02236379	0.027088217	0.008198505	0.03542109	0.016333356	-1.1764431	0.29095054	-0.8167753	-1.5140107	-0.26209906	0.069089144	135.54078149795532
55	-0.43909022	0.0	-0.43909022	-0.43909022	1.0	0.034685187	0.0059840837	0.04185014	0.026493516	0.03663048	0.004411304	0.044012338	0.03308382	-1.1959019	0.33302605	-0.661757	-1.5110408	-0.27289972	0.15065357	138.0821132659912
56	0.3054376	0.0	0.3054376	0.3054376	1.0	0.034259733	0.0068442314	0.04393407	0.02658995	0.041073784	0.004131055	0.04495927	0.034885526	-1.1961589	0.41318142	-0.6708431	-1.612046	-0.27427158	0.27606416	140.60723161697388
57	-0.15007204	0.0	-0.15007204	-0.15007204	1.0	0.041407246	0.0076661413	0.047803562	0.028688863	0.04696595	0.007914865	0.054175757	0.033906557	-1.1998193	0.28868255	-0.8487201	-1.6214926	-0.28126854	0.21169278	143.11682629585266
59	0.30252478	0.0	0.30252478	0.30252478	1.0	0.04135599	0.008217705	0.052539997	0.030655531	0.04548313	0.010286121	0.06818903	0.03284704	-1.3582146	0.14237298	-1.1723008	-1.592704	-0.31216437	0.13642776	148.1267533302307
